Photo,URL,Date/Time Original (Capture),Camera Make,Width,Height,File Type
/Users/jabraham/Pictures/Lightroom/PicturesFromOthers/Alans/April2007Etc/DSC_0007 (5).JPG,lightroom://com.johnrellis.anyfilter/564292D0-10E3-4EDF-A5DA-D094E9F68B90,2007-04-25 13:33:42.70-06:00,Nikon,3872.0,2592.0,JPEG
/Volumes/Ladyhawke/RawPhotos/2016/2016-08-08/_JD03108.NEF,lightroom://com.johnrellis.anyfilter/33B6D8F5-C768-45B3-B020-A1C5EC4E42C5,2016-08-08 16:53:36,Nikon,4288.0,2848.0,Raw
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-16/P9167920.ORF,lightroom://com.johnrellis.anyfilter/9CACB923-2F51-4F51-A46C-4154A3E1E5D3,2017-09-16 15:11:37,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-21/IMG_2423.HEIC,lightroom://com.johnrellis.anyfilter/664CC3B2-2C6D-46C7-BFF0-30E5581433F4,2024-06-21 14:26:14-05:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD03106-2.NEF,lightroom://com.johnrellis.anyfilter/B11207BF-843C-4885-B407-EF19E78FDF05,2016-08-08 16:52:28,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-05-17/IMG_0439.JPG,lightroom://com.johnrellis.anyfilter/52601F65-95E3-4EE8-A4B2-A44477A2B3C1,2017-05-17 11:21:29,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2024/2024-02-12/Maxine's Paintings Slides 155.jpg,lightroom://com.johnrellis.anyfilter/1A8594FC-3C34-4F5A-B0E9-FFC7D37C33E2,2024-02-12 19:04:09,Nikon,1747.0,2560.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD03371-2.NEF,lightroom://com.johnrellis.anyfilter/389E8A5B-A99B-4350-AE96-8A3384D73671,2016-08-09 20:38:13,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-05/IMG_0955.HEIC,lightroom://com.johnrellis.anyfilter/D7C4A3DD-2B0F-4F47-91E1-FEEF13CE7700,2024-06-05 13:29:29+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-25/P9250082.ORF,lightroom://com.johnrellis.anyfilter/CC7FFE72-A2CC-444E-99EF-D9DD2C35380C,2017-09-25 14:48:38,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-23/IMG_2818.HEIC,lightroom://com.johnrellis.anyfilter/09EDB97C-F022-4E03-A5A4-3AB2EBCEFE1D,2024-06-23 11:33:32-05:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-04/IMG_0754.HEIC,lightroom://com.johnrellis.anyfilter/E7ADADD6-391A-4B76-BB1B-B9D032A8B36D,2024-06-04 18:18:52+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-31/IMG_9947.HEIC,lightroom://com.johnrellis.anyfilter/A30BB1AB-5FE1-4CC5-883D-0F277D70C553,2024-05-31 12:27:36+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-17/P9178064.ORF,lightroom://com.johnrellis.anyfilter/44521429-8300-4575-9220-0389FCDF2E6D,2017-09-17 08:42:57,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/DSC_0003.NEF,lightroom://com.johnrellis.anyfilter/A6CF7376-CED7-4731-AE03-12CE461E8DE4,2007-04-13 17:48:01,Nikon,2560.0,1702.0,Digital Negative (DNG)
